SIGLA_UF|NOME_UF|REGIAO|NOME_REGIAO|Nome_Mesorregiao|Total_Pop_IBGE_2022|Total_Mun_IBGE_2022
AC|Acre|N|Norte|Vale do Acre|583448|14
AC|Acre|N|Norte|Vale do Juruá|246332|8
AL|Alagoas|NE|Nordeste|Agreste Alagoano|634079|24
AL|Alagoas|NE|Nordeste|Leste Alagoano|2069392|52
AL|Alagoas|NE|Nordeste|Sertão Alagoano|421783|26
AM|Amazonas|N|Norte|Centro Amazonense|3083375|30
AM|Amazonas|N|Norte|Norte Amazonense|125431|6
AM|Amazonas|N|Norte|Sudoeste Amazonense|403270|16
AM|Amazonas|N|Norte|Sul Amazonense|340186|10
AP|Amapá|N|Norte|Norte do Amapá|60649|5
AP|Amapá|N|Norte|Sul do Amapá|713619|11
BA|Bahia|NE|Nordeste|Centro Norte Baiano|2391739|80
BA|Bahia|NE|Nordeste|Centro Sul Baiano|2586175|118
BA|Bahia|NE|Nordeste|Extremo Oeste Baiano|674620|24
BA|Bahia|NE|Nordeste|Metropolitana de Salvador|4321067|38
BA|Bahia|NE|Nordeste|Nordeste Baiano|1580577|60
BA|Bahia|NE|Nordeste|Sul Baiano|2043598|70
BA|Bahia|NE|Nordeste|Vale São-Franciscano da Bahia|1061247|27
CE|Ceará|NE|Nordeste|Centro-Sul Cearense|365846|14
CE|Ceará|NE|Nordeste|Jaguaribe|546667|21
CE|Ceará|NE|Nordeste|Metropolitana de Fortaleza|3761382|11
CE|Ceará|NE|Nordeste|Noroeste Cearense|1426225|47
CE|Ceará|NE|Nordeste|Norte Cearense|1071030|36
CE|Ceará|NE|Nordeste|Sertões Cearenses|838795|30
CE|Ceará|NE|Nordeste|Sul Cearense|926486|25
DF|Distrito Federal|CO|Centro-Oeste|Distrito Federal|2923369|1
ES|Espírito Santo|SE|Sudeste|Central Espírito-santense|2310242|24
ES|Espírito Santo|SE|Sudeste|Litoral Norte Espírito-santense|617832|15
ES|Espírito Santo|SE|Sudeste|Noroeste Espírito-santense|430213|17
ES|Espírito Santo|SE|Sudeste|Sul Espírito-santense|616813|22
GO|Goiás|CO|Centro-Oeste|Centro Goiano|3533946|82
GO|Goiás|CO|Centro-Oeste|Leste Goiano|1405349|32
GO|Goiás|CO|Centro-Oeste|Noroeste Goiano|228898|23
GO|Goiás|CO|Centro-Oeste|Norte Goiano|297602|27
GO|Goiás|CO|Centro-Oeste|Sul Goiano|1485181|82
MA|Maranhão|NE|Nordeste|Centro Maranhense|908629|42
MA|Maranhão|NE|Nordeste|Leste Maranhense|1346012|44
MA|Maranhão|NE|Nordeste|Norte Maranhense|2819625|60
MA|Maranhão|NE|Nordeste|Oeste Maranhense|1396316|52
MA|Maranhão|NE|Nordeste|Sul Maranhense|330023|19
MG|Minas Gerais|SE|Sudeste|Campo das Vertentes|571162|36
MG|Minas Gerais|SE|Sudeste|Central Mineira|435238|30
MG|Minas Gerais|SE|Sudeste|Jequitinhonha|660227|51
MG|Minas Gerais|SE|Sudeste|Metropolitana de Belo Horizonte|6722224|105
MG|Minas Gerais|SE|Sudeste|Noroeste de Minas|394967|19
MG|Minas Gerais|SE|Sudeste|Norte de Minas|1657829|89
MG|Minas Gerais|SE|Sudeste|Oeste de Minas|1077007|44
MG|Minas Gerais|SE|Sudeste|Sul/Sudoeste de Minas|2600981|146
MG|Minas Gerais|SE|Sudeste|Triângulo Mineiro/Alto Paranaíba|2454011|66
MG|Minas Gerais|SE|Sudeste|Vale do Mucuri|368989|23
