SIGLA_UF|NOME_UF|REGIAO|NOME_REGIAO|Nome_Microrregiao|Total_Pop_IBGE_2022|Total_Mun_IBGE_2022
AC|Acre|N|Norte|Brasiléia|70821|4
AC|Acre|N|Norte|Cruzeiro do Sul|157120|5
AC|Acre|N|Norte|Rio Branco|452963|7
AC|Acre|N|Norte|Sena Madureira|59664|3
AC|Acre|N|Norte|Tarauacá|89212|3
AL|Alagoas|NE|Nordeste|Alagoana do Sertão do São Francisco|82149|3
AL|Alagoas|NE|Nordeste|Arapiraca|431914|10
AL|Alagoas|NE|Nordeste|Batalha|88742|8
AL|Alagoas|NE|Nordeste|Litoral Norte Alagoano|73801|5
AL|Alagoas|NE|Nordeste|Maceió|1225966|10
AL|Alagoas|NE|Nordeste|Mata Alagoana|265396|16
AL|Alagoas|NE|Nordeste|Palmeira dos Índios|167883|11
AL|Alagoas|NE|Nordeste|Penedo|119710|5
AL|Alagoas|NE|Nordeste|Santana do Ipanema|169089|10
AL|Alagoas|NE|Nordeste|Serrana do Sertão Alagoano|81803|5
AL|Alagoas|NE|Nordeste|Serrana dos Quilombos|137572|7
AL|Alagoas|NE|Nordeste|São Miguel dos Campos|246947|9
AL|Alagoas|NE|Nordeste|Traipu|34282|3
AM|Amazonas|N|Norte|Alto Solimões|264407|9
AM|Amazonas|N|Norte|Boca do Acre|56315|2
AM|Amazonas|N|Norte|Coari|156838|6
AM|Amazonas|N|Norte|Itacoatiara|176686|5
AM|Amazonas|N|Norte|Japurá|24987|2
AM|Amazonas|N|Norte|Juruá|138863|7
AM|Amazonas|N|Norte|Madeira|197592|5
AM|Amazonas|N|Norte|Manaus|2326673|7
AM|Amazonas|N|Norte|Parintins|262954|7
AM|Amazonas|N|Norte|Purus|86279|3
AM|Amazonas|N|Norte|Rio Negro|100444|4
AM|Amazonas|N|Norte|Rio Preto da Eva|55569|2
AM|Amazonas|N|Norte|Tefé|104655|3
AP|Amapá|N|Norte|Amapá|22258|3
AP|Amapá|N|Norte|Macapá|645029|8
AP|Amapá|N|Norte|Mazagão|68590|3
AP|Amapá|N|Norte|Oiapoque|38391|2
BA|Bahia|NE|Nordeste|Alagoinhas|315764|9
BA|Bahia|NE|Nordeste|Barra|175444|7
BA|Bahia|NE|Nordeste|Barreiras|375049|7
BA|Bahia|NE|Nordeste|Bom Jesus da Lapa|185152|6
BA|Bahia|NE|Nordeste|Boquira|185497|11
BA|Bahia|NE|Nordeste|Brumado|235113|14
