REGIAO|NOME_REGIAO|SIGLA_UF|NOME_UF|COD_IBGE|NOME_MUNICIPIO|LAT|LNG|POP_IBGE_2013|CAPITAL|POP_IBGE_2022|Cod_Mesorregiao|Nome_Mesorregiao|Cod_Microrregiao|Nome_Microrregiao
N|Norte|RO|Rondônia|1100015|Alta Floresta D'Oeste|-11.9355403|-61.9998239|25728|0|21558|02|Leste Rondoniense|006|Cacoal
N|Norte|RO|Rondônia|1100023|Ariquemes|-9.908462867|-63.03326928|101269|0|100896|02|Leste Rondoniense|003|Ariquemes
N|Norte|RO|Rondônia|1100031|Cabixi|-13.49976346|-60.54431358|6495|0|5107|02|Leste Rondoniense|008|Colorado do Oeste
N|Norte|RO|Rondônia|1100049|Cacoal|-11.43386503|-61.44294421|85863|0|92202|02|Leste Rondoniense|006|Cacoal
N|Norte|RO|Rondônia|1100056|Cerejeiras|-13.19503303|-60.81842616|18041|0|15237|02|Leste Rondoniense|008|Colorado do Oeste
N|Norte|RO|Rondônia|1100064|Colorado do Oeste|-13.13056384|-60.55506746|19190|0|15747|02|Leste Rondoniense|008|Colorado do Oeste
N|Norte|RO|Rondônia|1100072|Corumbiara|-12.99752024|-60.94870117|9036|0|7503|02|Leste Rondoniense|008|Colorado do Oeste
N|Norte|RO|Rondônia|1100080|Costa Marques|-12.43601388|-64.23165394|15853|0|12633|01|Madeira-Guaporé|002|Guajará-Mirim
N|Norte|RO|Rondônia|1100098|Espigão D'Oeste|-11.52855463|-61.02017311|31699|0|29722|02|Leste Rondoniense|006|Cacoal
N|Norte|RO|Rondônia|1100106|Guajará-Mirim|-10.77388374|-65.32395182|45761|0|39396|01|Madeira-Guaporé|002|Guajará-Mirim
N|Norte|RO|Rondônia|1100114|Jaru|-10.43594877|-62.47623071|55597|0|52090|02|Leste Rondoniense|004|Ji-Paraná
N|Norte|RO|Rondônia|1100122|Ji-Paraná|-10.88205132|-61.94509458|128026|0|136825|02|Leste Rondoniense|004|Ji-Paraná
N|Norte|RO|Rondônia|1100130|Machadinho D'Oeste|-9.42556248|-61.99959257|35633|0|30626|02|Leste Rondoniense|003|Ariquemes
N|Norte|RO|Rondônia|1100148|Nova Brasilândia D'Oeste|-11.72132541|-62.30823016|21427|0|17355|02|Leste Rondoniense|005|Alvorada D'Oeste
N|Norte|RO|Rondônia|1100155|Ouro Preto do Oeste|-10.7235739|-62.26105519|40099|0|36753|02|Leste Rondoniense|004|Ji-Paraná
N|Norte|RO|Rondônia|1100189|Pimenta Bueno|-11.67753699|-61.18366567|36939|0|37464|02|Leste Rondoniense|007|Vilhena
N|Norte|RO|Rondônia|1100205|Porto Velho|-8.76889179|-63.83144565|484992|1|461748|01|Madeira-Guaporé|001|Porto Velho
N|Norte|RO|Rondônia|1100254|Presidente Médici|-11.17320502|-61.90943868|23017|0|19316|02|Leste Rondoniense|004|Ji-Paraná
N|Norte|RO|Rondônia|1100262|Rio Crespo|-9.70553671|-62.90001037|3666|0|3476|02|Leste Rondoniense|003|Ariquemes
N|Norte|RO|Rondônia|1100288|Rolim de Moura|-11.72225891|-61.78578094|55357|0|57180|02|Leste Rondoniense|006|Cacoal
N|Norte|RO|Rondônia|1100296|Santa Luzia D'Oeste|-11.90842333|-61.77330546|8887|0|7394|02|Leste Rondoniense|006|Cacoal
N|Norte|RO|Rondônia|1100304|Vilhena|-12.74137347|-60.13858387|87727|0|95599|02|Leste Rondoniense|007|Vilhena
N|Norte|RO|Rondônia|1100320|São Miguel do Guaporé|-11.69948974|-62.72006348|23668|0|21612|02|Leste Rondoniense|005|Alvorada D'Oeste
N|Norte|RO|Rondônia|1100338|Nova Mamoré|-10.41177129|-65.32914902|26227|0|25452|01|Madeira-Guaporé|001|Porto Velho
N|Norte|RO|Rondônia|1100346|Alvorada D'Oeste|-11.34413002|-62.27727487|17399|0|13092|02|Leste Rondoniense|005|Alvorada D'Oeste
N|Norte|RO|Rondônia|1100379|Alto Alegre dos Parecis|-12.13177722|-61.85307717|13827|0|13023|02|Leste Rondoniense|006|Cacoal
N|Norte|RO|Rondônia|1100403|Alto Paraíso|-9.716666738|-63.31762943|19459|0|17140|02|Leste Rondoniense|003|Ariquemes
N|Norte|RO|Rondônia|1100452|Buritis|-10.20980541|-63.82967879|36555|0|28178|01|Madeira-Guaporé|001|Porto Velho
N|Norte|RO|Rondônia|1100502|Novo Horizonte do Oeste|-11.70974292|-61.99438766|10515|0|7653|02|Leste Rondoniense|006|Cacoal
N|Norte|RO|Rondônia|1100601|Cacaulândia|-10.33887284|-62.90318993|6268|0|4157|02|Leste Rondoniense|003|Ariquemes
N|Norte|RO|Rondônia|1100700|Campo Novo de Rondônia|-10.56841647|-63.62499143|13939|0|8840|01|Madeira-Guaporé|001|Porto Velho
N|Norte|RO|Rondônia|1100809|Candeias do Jamari|-8.785020703|-63.70002007|22973|0|22564|01|Madeira-Guaporé|001|Porto Velho
N|Norte|RO|Rondônia|1100908|Castanheiras|-11.42684223|-61.9491612|3689|0|3269|02|Leste Rondoniense|006|Cacoal
N|Norte|RO|Rondônia|1100924|Chupinguaia|-12.55684076|-60.90184775|9636|0|9351|02|Leste Rondoniense|007|Vilhena
N|Norte|RO|Rondônia|1100940|Cujubim|-9.378193399|-62.58717453|19410|0|14338|01|Madeira-Guaporé|001|Porto Velho
N|Norte|RO|Rondônia|1101005|Governador Jorge Teixeira|-10.61207177|-62.74045764|10534|0|8012|02|Leste Rondoniense|004|Ji-Paraná
N|Norte|RO|Rondônia|1101104|Itapuã do Oeste|-9.191871675|-63.18233702|9661|0|9465|01|Madeira-Guaporé|001|Porto Velho
